0,14.9,15.6977
1,15.1,15.6136
2,16,15.5367
3,21.8,15.4668
4,13.3,15.4035
5,13.4,15.3465
6,11.8,15.2957
7,13.4,15.2508
8,15.2,15.2114
9,17.1,15.1773
10,15.6,15.1483
11,16.4,15.1242
12,15.3,15.1046
13,13.5,15.0894
14,15,15.0783
15,15.7,15.0711
16,17.5,15.0675
17,15.1,15.0674
18,16.5,15.0705
19,14.3,15.0766
20,15.5,15.0855
21,14.8,15.097
22,15.2,15.111
23,14.3,15.1272
24,16.8,15.1454
25,16.9,15.1654
26,15.1,15.1871
27,15.4,15.2103
28,15,15.2349
29,15.8,15.2606
30,13.9,15.2873
31,13.9,15.3148
32,14.5,15.343
33,13.4,15.3718
34,14.7,15.401
35,17.8,15.4305
36,15.5,15.4601
37,14.7,15.4897
38,12.6,15.5191
39,14.7,15.5484
40,13.8,15.5773
41,15.7,15.6057
42,16.8,15.6335
43,14.6,15.6607
44,15,15.6871
45,14.5,15.7127
46,14.4,15.7373
47,18,15.7609
48,13.8,15.7834
49,15.9,15.8046
50,15.3,15.8247
51,15.6,15.8434
52,18.6,15.8608
53,16.4,15.8767
54,19,15.8911
55,13.9,15.9041
56,18.3,15.9154
57,17.2,15.9251
58,17.2,15.9332
59,15.7,15.9397
60,17.8,15.9444
61,13,15.9474
62,18.7,15.9487
63,17.2,15.9483
64,15,15.9461
65,16.1,15.9422
66,14,15.9365
67,18.4,15.9291
68,16.5,15.92
69,15.4,15.9092
70,15,15.8967
71,16.8,15.8826
72,14.1,15.8668
73,18.2,15.8495
74,15.2,15.8306
75,19.6,15.8102
76,15,15.7884
77,14.3,15.7651
78,14.7,15.7406
79,17.6,15.7147
80,18,15.6877
81,14.6,15.6595
82,14.9,15.6302
83,15,15.6
84,13.1,15.5689
85,14.2,15.5369
86,15.3,15.5043
87,13.2,15.4711
88,15.8,15.4373
89,17.5,15.4032
90,15.4,15.3687
91,14,15.3342
92,14.5,15.2995
93,13.3,15.265
94,17.7,15.2306
95,14.8,15.1967
96,15.4,15.1632
97,14.2,15.1303
98,16.4,15.0982
99,14.3,15.0671
100,12.2,15.0371
101,15.6,15.0083
102,12,14.981
103,19.6,14.9552
104,15,14.9313
105,14.9,14.9093
106,14,14.8894
107,16.8,14.8719
108,12.8,14.8569
109,15.1,14.8447
110,17.6,14.8354
111,13.9,14.8292
112,16,14.8264
113,13.4,14.8271
114,13.2,14.8317
115,15.1,14.8403
116,13.8,14.8531
117,16.1,14.8705
118,12.8,14.8925
119,13.7,14.9196
120,16.5,14.9519
121,14.7,14.9896
122,14.7,15.0331
123,15,15.0826
124,11.7,15.1384
125,18.8,15.2008
126,15.7,15.2699
127,16.4,15.3462
128,15.3,15.4298
129,17.8,15.5211
130,16.4,15.6205
131,15.6,15.728
132,18,15.8442
133,14.8,15.9693
134,16.7,16.1035
135,17.2,16.2473
136,17,16.4009
137,13,16.5647
138,21.7,16.7391
139,16.9,16.9242
140,15.6,17.1205
141,13.7,17.3284
